tiempo merge insert
241 4e-05 2.76948
242 3.4e-05 2.83075
243 4.4e-05 2.88979
244 4.3e-05 2.96394
245 4.6e-05 2.98139
246 4e-05 3.01079
247 3.5e-05 3.04614
248 4.1e-05 3.09101
249 3.8e-05 3.05468
250 4e-05 3.13926
251 3.7e-05 3.20967
252 3.4e-05 3.26444
253 3.5e-05 3.29641
254 3.6e-05 3.31882
255 4.7e-05 3.33702
256 3.6e-05 3.41147
257 3.9e-05 3.45272
258 3.6e-05 3.49899
259 4.5e-05 3.50378
260 3.6e-05 3.61569
261 3.9e-05 3.70482
262 4.7e-05 3.7508
263 4.6e-05 3.75499
264 3.7e-05 3.78072
265 3.7e-05 3.81535
266 3.7e-05 3.93753
267 3.7e-05 4.07659
268 4.2e-05 4.34754
269 3.9e-05 4.1704
270 4.3e-05 4.3661
271 5e-05 4.28349
272 5.1e-05 4.30735
273 3.8e-05 4.53564
274 5e-05 4.44456
275 5e-05 4.41644
276 5.7e-05 4.51298
277 5e-05 4.6748
278 4.4e-05 4.99478
279 5e-05 5.15683
280 5e-05 4.83273
281 5e-05 4.98716
282 5.3e-05 5.00792
283 4.2e-05 5.24616
284 4.9e-05 5.81699
285 5.3e-05 5.30483
286 4.8e-05 5.57058
287 4.5e-05 5.66078
288 4e-05 5.39949
289 4.7e-05 5.41636
290 4.4e-05 5.52586
291 5.2e-05 5.65389
292 4.4e-05 5.76098
293 5.1e-05 5.88485
294 4.7e-05 5.92163
295 4.2e-05 5.96689
296 5.3e-05 6.08104
297 4.5e-05 6.23124
298 5.3e-05 6.27598
299 5.4e-05 6.42829
300 5.1e-05 6.43752
301 5.2e-05 6.48311
302 4.6e-05 6.57296
303 4.6e-05 6.65415
304 4.6e-05 6.83935
305 4.3e-05 7.00054
306 4.8e-05 7.02924
307 4.8e-05 7.23415
308 4.4e-05 8.15257
309 5.2e-05 8.07186
310 5.7e-05 7.70148
311 4.8e-05 7.97144
312 4.9e-05 7.66789
313 4.9e-05 7.74444
314 4.5e-05 7.82082
315 4.7e-05 8.04181
316 4.7e-05 8.0915
317 4.5e-05 8.51733
318 5.3e-05 8.48087
319 5e-05 8.48719
320 4.5e-05 8.62257
321 5e-05 8.80233
322 4.8e-05 8.93385
323 7.2e-05 9.08595
324 6.1e-05 9.71136
325 5e-05 9.34143
326 5.8e-05 9.33545
327 4.7e-05 9.44854
328 5e-05 9.64014
329 4.8e-05 10.4282
330 6.8e-05 10.5172
331 5.9e-05 10.9012
332 6e-05 10.6466
333 5.8e-05 10.616
334 6.1e-05 11.1309
335 6.6e-05 10.443
336 5.5e-05 10.3609
337 5e-05 10.4097
338 5.3e-05 10.4215
339 5.4e-05 10.5466
340 5.9e-05 10.7161
341 5.4e-05 10.8512
342 5.7e-05 10.9516
343 5.5e-05 11.0551
344 5.1e-05 11.2003
345 5.1e-05 11.4288
346 5.2e-05 11.4311
347 5.8e-05 11.5934
348 5.6e-05 11.6682
349 5.3e-05 11.7202
350 5.5e-05 11.9373
351 5.6e-05 12.3592
352 5.7e-05 12.1606
353 5e-05 12.8843
354 6.4e-05 12.7264
355 5.8e-05 12.5878
356 6.3e-05 13.2827
357 6.4e-05 13.1963
358 6e-05 13.366
359 6.3e-05 13.7087
360 6.6e-05 13.913
361 5.4e-05 13.8562
362 5.3e-05 14.6386
363 5.2e-05 14.8936
