tiempo merge hibrido(sort)
263 0.342924 4.90662
264 0.368786 4.62896
265 0.341521 4.58673
266 0.345564 4.75096
267 0.382476 4.87027
268 0.353104 4.69773
269 0.393987 5.35354
270 0.377909 5.05605
271 0.396422 5.21913
272 0.402936 5.18398
273 0.400878 5.38011
274 0.408984 5.24305
275 0.389603 6.09716
276 0.687114 6.90646
277 0.560932 5.49348
278 0.399913 5.18532
279 0.400851 5.40522
280 0.434077 6.7056
281 0.707791 7.58065
282 0.4664 6.30769
283 0.516354 6.94799
284 0.601747 8.91869
285 0.547938 6.79094
286 0.550658 8.66726
287 0.628005 7.44645
288 0.532735 6.82916
289 0.503275 7.18189
290 0.542523 6.59095
291 0.547311 6.56726
292 0.541549 6.24018
293 0.487486 6.11844
