N iter1 iter2 matriz
156 4.7e-05 3.5e-05 0.000436
157 4.7e-05 3.9e-05 0.000451
158 4.8e-05 3.5e-05 0.000442
159 4.8e-05 3.5e-05 0.000447
160 4.8e-05 3.6e-05 0.000454
161 4.8e-05 3.6e-05 0.000451
162 4.8e-05 3.6e-05 0.000454
163 4.9e-05 3.7e-05 0.000456
164 4.9e-05 3.7e-05 0.000459
165 4.9e-05 3.7e-05 0.000461
166 5e-05 3.8e-05 0.000465
167 5e-05 3.8e-05 0.000471
168 5e-05 3.7e-05 0.000471
169 5.1e-05 3.8e-05 0.000475
170 5e-05 3.8e-05 0.000478
171 5.1e-05 3.8e-05 0.000482
172 5.1e-05 3.8e-05 0.000481
173 5.2e-05 3.9e-05 0.000489
174 5.2e-05 3.9e-05 0.000491
175 5.2e-05 3.9e-05 0.000492
176 5.3e-05 4e-05 0.000493
177 5.3e-05 4e-05 0.000498
178 5.3e-05 4e-05 0.000502
179 5.4e-05 4e-05 0.000503
180 5.4e-05 4.1e-05 0.000511
181 5.4e-05 4e-05 0.00051
182 5.4e-05 4.1e-05 0.00051
183 5.4e-05 4.1e-05 0.000514
184 5.5e-05 4.1e-05 0.000518
185 5.5e-05 4.2e-05 0.000518
186 5.5e-05 4.2e-05 0.000539
187 6.7e-05 4.2e-05 0.000537
188 5.7e-05 4.3e-05 0.000529
189 5.6e-05 4.3e-05 0.000529
190 5.6e-05 4.2e-05 0.000531
191 5.7e-05 4.3e-05 0.000536
192 5.7e-05 4.3e-05 0.000538
193 5.8e-05 4.4e-05 0.000545
194 5.8e-05 4.3e-05 0.000544
195 5.7e-05 4.4e-05 0.000546
196 5.8e-05 4.5e-05 0.000549
197 5.8e-05 4.4e-05 0.000554
198 5.9e-05 4.5e-05 0.000559
199 5.9e-05 4.5e-05 0.000568
200 6e-05 4.5e-05 0.000564
201 5.9e-05 4.5e-05 0.000568
202 5.9e-05 4.5e-05 0.000565
203 6e-05 4.6e-05 0.00057
204 6e-05 4.6e-05 0.000578
205 6.1e-05 4.6e-05 0.000583
206 6.1e-05 4.6e-05 0.000582
207 6.1e-05 4.6e-05 0.000582
208 6.2e-05 4.7e-05 0.000585
209 6.2e-05 4.7e-05 0.000586
210 6.3e-05 4.7e-05 0.000588
