tiempo bubble insert
230 7.86361 2.42488
231 8.07238 2.49983
232 7.97994 2.4685
233 8.10938 2.48176
234 8.26375 2.60178
235 8.35355 2.57885
236 8.42643 2.62539
237 8.69222 2.69618
238 8.76736 2.76297
239 9.00059 2.93485
240 9.68278 2.83405
241 9.1868 2.85972
242 9.32354 2.91228
243 9.796 2.97803
244 9.86542 3.01262
245 10.3139 3.04414
246 10.0343 3.1122
247 10.2004 3.14857
248 10.3557 3.1243
249 10.5014 3.13367
250 10.6667 3.20938
251 10.7399 3.29693
252 10.9741 3.34793
253 11.0967 3.51893
254 11.3646 3.4397
255 11.8629 3.63738
256 12.0297 3.67424
257 11.6511 3.59025
258 12.0797 3.57202
259 11.8534 3.59649
260 12.2946 3.69592
261 12.5493 3.76481
262 12.7926 3.83692
263 12.9333 3.93889
264 13.1255 3.88532
265 13.2745 3.9134
266 13.4536 3.95963
267 13.6356 4.0475
268 13.8598 4.11916
269 13.8296 4.08191
270 14.2173 4.38373
271 15.1219 4.24423
272 14.7182 4.31422
273 14.8427 4.54486
274 15.2462 4.46901
275 15.0287 4.48597
276 15.2021 4.74995
277 15.6867 4.64315
278 15.7683 4.78798
279 16.096 4.89867
280 16.4063 4.91596
281 16.5454 4.99629
282 16.9319 5.03885
283 16.8856 5.11033
284 17.3124 5.18062
285 17.7807 5.33759
286 18.3465 5.43836
287 18.1844 5.53771
288 18.4131 5.51435
289 18.591 5.5518
290 18.8271 5.64098
291 19.1886 5.77089
292 19.5143 5.95767
293 19.7238 5.97298
294 19.9245 6.01735
295 20.1683 6.06505
296 20.3132 6.16863
297 21.0078 6.31341
298 21.1188 6.33668
299 21.8442 6.52453
300 21.6173 6.52615
301 21.9598 6.59213
302 22.4117 6.67052
303 22.6106 6.72003
304 23.0282 6.98331
305 23.5928 7.13516
306 23.6613 7.12371
307 23.8508 7.21135
308 24.349 7.4694
309 24.8663 7.60229
310 24.8483 7.62449
311 25.2169 7.7705
312 25.5331 7.79382
313 26.3796 7.87393
314 26.3562 7.93645
315 26.3947 8.01541
316 26.8858 8.19808
317 27.1227 8.37959
318 27.8621 8.49511
319 27.8797 9.24006
320 28.203 8.69569
321 28.435 8.79749
322 28.6516 8.78802
323 29.9407 9.00346
324 29.9612 9.39863
325 30.3879 9.34892
326 30.8959 9.43027
327 30.9769 9.44311
328 31.3463 9.58003
329 31.9422 9.82024
330 32.2745 9.98335
331 32.5241 10.0012
332 33.5378 10.1931
333 33.4993 10.3703
334 33.84 10.4408
335 34.1126 10.4316
